Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,32,66,2,2,62,31,61,378,281,189,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,61,102,2,2,98,49,97,378,281,189,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,493,1003,3,2,737,245,736,549,281,183,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,78,86,3,2,78,26,77,270,171,90,12,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,308,597,4,3,565,141,561,550,281,137,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,271,405,6,3,383,63,364,612,281,102,35,true
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,76,138,3,2,134,44,133,549,281,183,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,125,133,6,3,125,20,82,627,281,104,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,301,467,12,3,301,25,160,730,281,60,35,true
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java,139,240,2,2,206,103,206,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,197,291,2,2,289,144,289,452,281,226,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,62,128,2,2,104,52,104,452,281,226,35,false
